State,Region,Percent Increase
AL,South,1.508
AK,West,1.6
AZ,West,1.6
AR,South,1.508
CA,West,1.6
CO,West,1.6
CT,Northeast,1.536
DE,Northeast,1.536
FL,South,1.508
GA,South,1.508
HI,West,1.6
ID,West,1.6
IL,Midwest,1.451
IN,Midwest,1.451
IA,Midwest,1.451
KS,Midwest,1.451
KY,South,1.508
LA,South,1.508
ME,Northeast,1.536
MD,Northeast,1.536
MA,Northeast,1.536
MI,Midwest,1.451
MN,Midwest,1.451
MS,South,1.508
MO,Midwest,1.451
MT,West,1.6
NE,Midwest,1.451
NV,West,1.6
NH,Northeast,1.536
NJ,Northeast,1.536
NM,West,1.6
NY,Northeast,1.536
NC,South,1.508
ND,Midwest,1.451
OH,Midwest,1.451
OK,South,1.508
OR,West,1.6
PA,Northeast,1.536
RI,Northeast,1.536
SC,South,1.508
SD,Midwest,1.451
TN,South,1.508
TX,South,1.508
UT,West,1.6
VT,Northeast,1.536
VA,South,1.508
WA,West,1.6
WV,South,1.508
WI,Midwest,1.451
WY,West,1.6
DC,Northeast,1.536
